feature_idx,importance,feature_name
1,1.27552763905896,Feature_1
7,0.750257334070164,Feature_7
4,0.73162503516294,Feature_4
9,0.721899971941854,Feature_9
16,0.575699876801277,Feature_16
2,0.517364509544051,Feature_2
25,0.477889738617317,Feature_25
3,0.399371107368402,Feature_3
30,0.361517799944213,Feature_30
15,0.349736768586023,Feature_15
35,0.34285224052924,Feature_35
19,0.337278827105208,Feature_19
6,0.334650369925518,Feature_6
28,0.322582762524831,Feature_28
14,0.315654870879258,Feature_14
21,0.305580972027671,Feature_21
24,0.299625826338853,Feature_24
29,0.284106838714708,Feature_29
10,0.232275808461866,Feature_10
11,0.223424646477649,Feature_11
40,0.209264774740265,Feature_40
22,0.198275828165536,Feature_22
44,0.178329005858897,Feature_44
26,0.17146380487616,Feature_26
18,0.163421493709763,Feature_18
20,0.159060827394809,Feature_20
41,0.144598058949972,Feature_41
45,0.142492914786045,Feature_45
32,0.139417686586536,Feature_32
23,0.133525445496755,Feature_23
5,0.122014914684416,Feature_5
34,0.110937771352635,Feature_34
27,0.100998646143133,Feature_27
33,0.0989116349918065,Feature_33
46,0.0955902723031643,Feature_46
17,0.0955654411438077,Feature_17
47,0.0799003266937101,Feature_47
8,0.0686407952741893,Feature_8
48,0.0672605290704433,Feature_48
42,0.0638972256435865,Feature_42
13,0.0633066295330419,Feature_13
38,0.0610413230487877,Feature_38
37,0.0503200256246665,Feature_37
12,0.0413367476954716,Feature_12
31,0.039561480678017,Feature_31
50,0.0389024428381886,Feature_50
36,0.0369300383477601,Feature_36
49,0.0250287846630538,Feature_49
39,0.00706707946787538,Feature_39
43,0.00326201181405314,Feature_43
