timestep,importance,hour_before
1,0.134752068185685,72
2,0.0973870394423411,71
3,0.501245551387715,70
4,0.285773510855167,69
5,0.285256434186836,68
6,0.0468274915731109,67
7,0.0636409260842898,66
8,0.0917545229162428,65
9,0.158607518507782,64
10,0.118340133113892,63
11,0.108776741611016,62
12,0.164540931432625,61
13,0.104676740155053,60
14,0.0765394338092708,59
15,0.163704463007475,58
16,0.0749452122018978,57
17,0.206717520705017,56
18,0.0522947722239486,55
19,0.185601407964655,54
20,0.0245424706904354,53
21,0.0814152809467665,52
22,0.0902464294822187,51
23,0.0529462348500457,50
24,0.0481580883155672,49
25,0.21469144314233,48
26,0.227286403893545,47
27,0.00878120986419011,46
28,0.125426987647479,45
29,0.0969524074440687,44
30,0.0609009114700118,43
31,0.254626488993205,42
32,0.132774308759004,41
33,0.0116727912511049,40
34,0.104082382834175,39
35,0.176917681861307,38
36,0.0229702953252055,37
37,0.0384698703348513,36
38,0.300479304194345,35
39,0.104275746108601,34
40,0.0825899948367609,33
41,0.0464624695630181,32
42,0.0878214239311762,31
43,0.135898093076735,30
44,0.191490710819192,29
45,0.102497272333145,28
46,0.0822386247107847,27
47,0.0106652539555956,26
48,0.236531772976214,25
49,0.096505374485872,24
50,0.224154095584533,23
51,0.00896892324132271,22
52,0.148002927776652,21
53,0.0438677712525597,20
54,0.118027669188315,19
55,0.00193459684021309,18
56,0.0690284741032092,17
57,0.0514336842920583,16
58,0.0298455106097864,15
59,0.128013011182209,14
60,0.182634377005407,13
61,0.0652735654760207,12
62,0.182636171101253,11
63,0.0253881565269774,10
64,0.0435548681818409,9
65,0.125467713575718,8
66,0.215972785753856,7
67,0.115612268500903,6
68,0.00201221401533497,5
69,0.0266341453308557,4
70,0.259133068231204,3
71,0.0403448461004767,2
72,0.126505376614212,1
