feature_idx,importance,feature_name
5,1.02488206445661,Feature_5
1,0.691780171726704,Feature_1
3,0.690006979607139,Feature_3
4,0.642701173220814,Feature_4
11,0.520550035623399,Feature_11
30,0.475581798393096,Feature_30
7,0.404599709505551,Feature_7
22,0.357127764650554,Feature_22
38,0.316680652876955,Feature_38
17,0.303551972439659,Feature_17
14,0.301184583579511,Feature_14
41,0.300340560192357,Feature_41
16,0.2971765640703,Feature_16
42,0.272912922792721,Feature_42
15,0.272479180899948,Feature_15
13,0.272301193341159,Feature_13
40,0.23032062668238,Feature_40
10,0.217914169744418,Feature_10
29,0.206327740165284,Feature_29
37,0.20058713051582,Feature_37
25,0.199245153094611,Feature_25
44,0.19000270273805,Feature_44
24,0.178012658623344,Feature_24
8,0.168784429045343,Feature_8
28,0.165826009074623,Feature_28
2,0.16309787026891,Feature_2
32,0.161051216469719,Feature_32
35,0.160362250847726,Feature_35
23,0.152136241886716,Feature_23
36,0.144635714940806,Feature_36
12,0.137634274759727,Feature_12
31,0.123352704029696,Feature_31
27,0.119035692974605,Feature_27
50,0.111640008257136,Feature_50
21,0.108215924226642,Feature_21
49,0.101335954827892,Feature_49
26,0.0996210698803969,Feature_26
46,0.0906667123602705,Feature_46
34,0.0896102558352081,Feature_34
6,0.0838928406134222,Feature_6
9,0.0751162650792059,Feature_9
39,0.0501173417794097,Feature_39
33,0.0434152682512693,Feature_33
20,0.0417787621104017,Feature_20
19,0.0387437856309375,Feature_19
45,0.0239811382292705,Feature_45
47,0.0183141936827096,Feature_47
18,0.0120253847701993,Feature_18
48,0.00430134545496075,Feature_48
43,0.00168482065679814,Feature_43
