timestep,importance,hour_before
1,0.0740157209262129,72
2,0.257541794792616,71
3,0.19569975233239,70
4,0.0224724990317862,69
5,0.0622964934752792,68
6,0.032350390526442,67
7,0.302127163163795,66
8,0.436180475896914,65
9,0.330536893177252,64
10,0.0459330935046304,63
11,0.233545405418499,62
12,0.00888618906295699,61
13,0.004595800622185,60
14,0.034706203075573,59
15,0.187326380826877,58
16,0.229725808754863,57
17,0.370857003400896,56
18,0.0659675941924484,55
19,0.0743728438753573,54
20,0.137626356915441,53
21,0.286694011775051,52
22,0.146059703810789,51
23,0.0139909530373714,50
24,0.0458783482326744,49
25,0.117157350215383,48
26,0.111161091028242,47
27,0.0231562571036848,46
28,0.0739791411831909,45
29,0.0264060509180337,44
30,0.187985512301797,43
31,0.050365533861122,42
32,0.329254448538205,41
33,0.0251764177688688,40
34,0.295309288789732,39
35,0.138314660601518,38
36,0.159021146968805,37
37,0.0481696601467231,36
38,0.0476984290384589,35
39,0.184130615997024,34
40,0.106323154496328,33
41,0.0961584888542748,32
42,0.282176906456,31
43,0.00526612380749056,30
44,0.166997163476097,29
45,0.00630128591257474,28
46,0.228692323623955,27
47,0.0940332584515522,26
48,0.0252993939481413,25
49,0.0159678561327647,24
50,0.053427654762845,23
51,0.050962568184664,22
52,0.0514248868494122,21
53,0.130685008058623,20
54,0.120409075117952,19
55,0.0499019319980261,18
56,0.268354638291501,17
57,0.17424801198044,16
58,0.0266123807675007,15
59,0.171172073127466,14
60,0.112312963535764,13
61,0.126279468211076,12
62,0.0210597847110229,11
63,0.0261336073978024,10
64,0.0193240161862901,9
65,0.147821800463504,8
66,0.167430859797919,7
67,0.0780822552140382,6
68,0.0251939187903184,5
69,0.131126253140223,4
70,0.129780628901826,3
71,0.0129658385867109,2
72,0.119174727054097,1
