station,dataset_type,best_rmse,model_count
臺東_C0SA10_combined_windows,separate,2.96786259579833,1
觀音_467050_combined_windows,separate,2.97014902773665,1
楠梓_C0V770_combined_windows,separate,2.97345396792614,1
菜寮_C0AD30_combined_windows,separate,2.98822351511682,1
士林_C0AI40_combined_windows,separate,2.99280073187656,1
仁武_C0V680_combined_windows,separate,3.00462323005579,1
永和_C0AH10_combined_windows,separate,3.02810155094543,1
左營_C0V810_combined_windows,separate,3.05022622841595,1
二林_C0G730_combined_windows,separate,3.06570571131368,1
淡水_466900_combined_windows,separate,3.11465584279673,1
前金_C0V690_combined_windows,separate,3.13952684424281,1
大同_C0AI30_combined_windows,separate,3.14180882805365,1
前鎮_C0V490_combined_windows,separate,3.14361979029353,1
橋頭_C0V760_combined_windows,separate,3.16492720615366,1
復興_C0V710_combined_windows,separate,3.16871567236373,1
板橋_C0ACA0_combined_windows,separate,3.20270597743257,1
馬祖_467990_combined_windows,separate,3.20362862190856,1
新港_C0M790_combined_windows,separate,3.20480690233973,1
恆春_B2Q810_combined_windows,separate,3.22057466434955,1
潮州_C0R220_combined_windows,separate,3.22058299863051,1
萬華_466920_combined_windows,separate,3.25023711384988,1
小港_C0V450_combined_windows,separate,3.3165736599446,1
中山_C0AH70_combined_windows,separate,3.35833500739655,1
金門_C0W150_combined_windows,separate,3.3961265553294,1
中壢_A2C560_combined_windows,separate,3.39847002768321,1
大寮_C0V450_combined_windows,separate,3.46910722117894,1
林園_C0R640_combined_windows,separate,3.55063591893218,1
臺西_C0K530_combined_windows,separate,3.68315547681682,1
三重_C0AI30_combined_windows,separate,3.73235891716431,1
崙背_C0K250_combined_windows,separate,3.75108322314008,1
