feature_idx,importance,feature_name
3,1.19745717363142,Feature_3
2,0.530113826911459,Feature_2
5,0.500207043703016,Feature_5
15,0.485515626566153,Feature_15
1,0.428915322421713,Feature_1
9,0.392480231083784,Feature_9
20,0.324966669186962,Feature_20
4,0.324839738104956,Feature_4
36,0.305063247802196,Feature_36
44,0.294344941978228,Feature_44
24,0.287948176929893,Feature_24
22,0.279979153573669,Feature_22
48,0.244751160805736,Feature_48
10,0.229150392679623,Feature_10
13,0.225739977745179,Feature_13
34,0.209622856142936,Feature_34
21,0.197678649358676,Feature_21
35,0.19681580122417,Feature_35
26,0.195036721389237,Feature_26
6,0.186304058247534,Feature_6
7,0.177542884407608,Feature_7
11,0.176388679532655,Feature_11
49,0.167884992623266,Feature_49
46,0.138078025489008,Feature_46
17,0.133569203308209,Feature_17
50,0.128560031527455,Feature_50
19,0.126129235352128,Feature_19
25,0.118195076704147,Feature_25
39,0.116118485816068,Feature_39
43,0.11503021366838,Feature_43
29,0.114711970721784,Feature_29
30,0.107714630086135,Feature_30
12,0.101648918532866,Feature_12
41,0.101637349552109,Feature_41
47,0.0993957724339022,Feature_47
14,0.0947585534631453,Feature_14
28,0.0887034147512244,Feature_28
18,0.078570047037373,Feature_18
40,0.0781213751276987,Feature_40
42,0.0764649956347445,Feature_42
38,0.0715046982922373,Feature_38
8,0.0614347329577067,Feature_8
16,0.0587898565602681,Feature_16
31,0.0381811992659268,Feature_31
37,0.0365856329288718,Feature_37
27,0.0365603865680581,Feature_27
32,0.0289393302518924,Feature_32
23,0.0243002438475432,Feature_23
33,0.00517557758430447,Feature_33
45,0.00325060092974768,Feature_45
