station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank
norm_Nomorlization_永和_C0AH10_combined_windows,0.1879071859166,1,lstm_separate_norm_Nomorlization_永和_C0AH10_combined_windows,separate,45
norm_Nomorlization_中壢_A2C560_combined_windows,0.188588415321944,1,lstm_separate_norm_Nomorlization_中壢_A2C560_combined_windows,separate,46
norm_Nomorlization_士林_C0AI40_combined_windows,0.193887621478179,1,lstm_separate_norm_Nomorlization_士林_C0AI40_combined_windows,separate,47
norm_Nomorlization_林口_C0AH50_combined_windows,0.196395562530683,1,lstm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,48
norm_Nomorlization_基隆_466940_combined_windows,0.208968803027084,1,lstm_separate_norm_Nomorlization_基隆_466940_combined_windows,separate,49
norm_Nomorlization_三重_C0AI30_combined_windows,0.210367962503053,1,lstm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,separate,50
冬山_C0U910_combined_windows,1.90231428777993,1,lstm_separate_冬山_C0U910_combined_windows,separate,51
花蓮_466990_combined_windows,1.97354331314769,1,lstm_separate_花蓮_466990_combined_windows,separate,52
宜蘭_467080_combined_windows,2.01605147914434,1,lstm_separate_宜蘭_467080_combined_windows,separate,53
馬公_467350_combined_windows,2.07048025394016,1,lstm_separate_馬公_467350_combined_windows,separate,54
陽明_466910_combined_windows,2.07494118462193,1,lstm_separate_陽明_466910_combined_windows,separate,55
三義_C0F9Q0_combined_windows,2.10148332949401,1,lstm_separate_三義_C0F9Q0_combined_windows,separate,56
竹東_C0D560_combined_windows,2.11392001761499,1,lstm_separate_竹東_C0D560_combined_windows,separate,57
富貴角_C0AI20_combined_windows,2.16148021160301,1,lstm_separate_富貴角_C0AI20_combined_windows,separate,58
埔里_C0H890_combined_windows,2.18125279249451,1,lstm_separate_埔里_C0H890_combined_windows,separate,59
臺東_C0SA10_combined_windows,2.26934509852963,1,lstm_separate_臺東_C0SA10_combined_windows,separate,60
頭份_C0E420_combined_windows,2.28715688130512,1,lstm_separate_頭份_C0E420_combined_windows,separate,61
南投_C0I460_combined_windows,2.30959300071157,1,lstm_separate_南投_C0I460_combined_windows,separate,62
豐原_C0F9M0_combined_windows,2.36476211126145,1,lstm_separate_豐原_C0F9M0_combined_windows,separate,63
湖口_C0D650_combined_windows,2.41708756427842,1,lstm_separate_湖口_C0D650_combined_windows,separate,64
大里_C0F9N0_combined_windows,2.47788892941412,1,lstm_separate_大里_C0F9N0_combined_windows,separate,65
新竹_C0D660_combined_windows,2.49516075638609,1,lstm_separate_新竹_C0D660_combined_windows,separate,66
竹山_U2HA50_combined_windows,2.51997895263291,1,lstm_separate_竹山_U2HA50_combined_windows,separate,67
忠明_C0F9U0_combined_windows,2.52867842260555,1,lstm_separate_忠明_C0F9U0_combined_windows,separate,68
彰化_C0G910_combined_windows,2.59124813251156,1,lstm_separate_彰化_C0G910_combined_windows,separate,69
新莊_C0ACA0_combined_windows,2.61609413216786,1,lstm_separate_新莊_C0ACA0_combined_windows,separate,70
沙鹿_C0F9X0_combined_windows,2.62025790309693,1,lstm_separate_沙鹿_C0F9X0_combined_windows,separate,71
