timestep,importance,hour_before
1,0.539946285607616,72
2,0.704172995167301,71
3,0.0305634385730377,70
4,0.2650950473888,69
5,0.0376556106191387,68
6,0.147878547707113,67
7,0.00896954722143451,66
8,0.147772380060245,65
9,0.359369795313875,64
10,0.165401344453836,63
11,0.121027445963062,62
12,0.249596343491736,61
13,0.109039899673887,60
14,0.344527944915965,59
15,0.337187956361198,58
16,0.0596198817341922,57
17,0.0504833260386346,56
18,0.305314807433262,55
19,0.112180621800344,54
20,0.204581507211167,53
21,0.157813032501381,52
22,0.227852579698196,51
23,0.271922668177082,50
24,0.243675649605224,49
25,0.108419965079644,48
26,0.314096187506368,47
27,0.135187203391484,46
28,0.125897324315569,45
29,0.184080614155984,44
30,0.11161956056697,43
31,0.0629724057569354,42
32,0.0485989351622828,41
33,0.0897654456272024,40
34,0.114670950173655,39
35,0.135704448227731,38
36,0.211380924622341,37
37,0.343936120401167,36
38,0.209267771608286,35
39,0.203823950400954,34
40,0.0418343392097227,33
41,0.208692708895346,32
42,0.148665233821186,31
43,0.149076816507052,30
44,0.227366562247807,29
45,0.205198475206161,28
46,0.0426915736763858,27
47,0.114700261979748,26
48,0.112891084082671,25
49,0.180637910684194,24
50,0.0817990159833142,23
51,0.136529679718019,22
52,0.00012789797655304,21
53,0.158547566899276,20
54,0.0804623265814352,19
55,0.0535656358653241,18
56,0.181151451709538,17
57,0.272660473239312,16
58,0.00117646276350295,15
59,0.192769157346531,14
60,0.462507761498269,13
61,0.010789425749551,12
62,0.00818678489470114,11
63,0.110675283788962,10
64,0.0529307852859436,9
65,0.208853397529071,8
66,0.248026530751423,7
67,0.116898677430134,6
68,0.0286707832199989,5
69,0.106042953616592,4
70,0.0334496205128669,3
71,0.159829395940446,2
72,0.0139652417453162,1
