feature_idx,importance,feature_name
9,0.552957478058501,Feature_9
1,0.488290086711721,Feature_1
31,0.435807511665194,Feature_31
12,0.356778252209568,Feature_12
7,0.356596802596738,Feature_7
23,0.347894465668952,Feature_23
30,0.339358240549799,Feature_30
4,0.312901142879149,Feature_4
35,0.279648737644281,Feature_35
8,0.272846359168162,Feature_8
2,0.259070648616081,Feature_2
15,0.250703956272311,Feature_15
38,0.205063864222031,Feature_38
6,0.204165032749176,Feature_6
20,0.193454448012683,Feature_20
27,0.192848367756882,Feature_27
14,0.183691344721182,Feature_14
10,0.173769974867741,Feature_10
26,0.16286483470303,Feature_26
3,0.162402056323068,Feature_3
17,0.154392748482085,Feature_17
36,0.151734648193674,Feature_36
45,0.150834017755636,Feature_45
41,0.142890819752199,Feature_41
42,0.137860220791732,Feature_42
22,0.0992916025761646,Feature_22
46,0.0976715130093734,Feature_46
16,0.0939491150110985,Feature_16
48,0.0921111173800219,Feature_48
49,0.0832074635160838,Feature_49
39,0.0779197411195019,Feature_39
29,0.075738272666904,Feature_29
19,0.0755743514206608,Feature_19
25,0.072508828204955,Feature_25
24,0.0724923531563517,Feature_24
13,0.0687035519508533,Feature_13
34,0.062923604669051,Feature_34
44,0.0618139942870472,Feature_44
21,0.0521612794953829,Feature_21
43,0.0514465385955713,Feature_43
18,0.0505373374907436,Feature_18
32,0.0490052145059858,Feature_32
11,0.048763391452749,Feature_11
50,0.046256480868982,Feature_50
37,0.0290325714974165,Feature_37
47,0.0176172578590846,Feature_47
40,0.0147494952463461,Feature_40
5,0.0101498106139551,Feature_5
28,0.0069664752057162,Feature_28
33,0.00173046948083594,Feature_33
