dataset_type,model_type,best_rmse,worst_rmse,avg_rmse,model_count,best_model,avg_size_mb
separate,lstm,0.0610554317984543,0.11677974630123,0.0850763395321955,27,lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,0.07
combine,lstm,0.103118688079952,0.120343830337712,0.111981974154516,3,lstm_combine_norm_chunk_02,0.07
