station,best_rmse,best_model_type,best_model_id,best_dataset_type,lgbm_count,lstm_count,total_models,avg_rmse,rmse_std
norm_Nomorlization_松山_C0AC70_combined_windows,0.157745068662443,lgbm,lgbm_separate_norm_Nomorlization_松山_C0AC70_combined_windows,separate,1,1,2,0.161513261246329,0.00532902905776571
norm_Nomorlization_板橋_C0ACA0_combined_windows,0.183930827426164,lstm,lstm_separate_norm_Nomorlization_板橋_C0ACA0_combined_windows,separate,1,1,2,0.184606669280149,0.000955784715924067
norm_Nomorlization_林口_C0AH50_combined_windows,0.189898544298293,lgbm,lgbm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,1,1,2,0.193147053414488,0.00459408564961572
norm_Nomorlization_林園_C0R640_combined_windows,0.077702792712726,lgbm,lgbm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,1,1,2,0.0826337351992235,0.00697340573968644
norm_Nomorlization_花蓮_466990_combined_windows,0.118084041844232,lgbm,lgbm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,1,1,2,0.127521336692109,0.0133463503659823
norm_Nomorlization_金門_C0W150_combined_windows,0.105622499339606,lgbm,lgbm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,1,1,2,0.111201122820418,0.00788936498593695
norm_Nomorlization_前金_C0V690_combined_windows,0.0710328446385114,lgbm,lgbm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,1,1,2,0.0753852252667918,0.00615519571312401
norm_Nomorlization_前鎮_C0V490_combined_windows,0.070306583417746,lgbm,lgbm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,1,1,2,0.076605129777093,0.00890748968462418
norm_Nomorlization_南投_C0I460_combined_windows,0.0635517858979483,lgbm,lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,1,1,2,0.0646556472036694,0.00156109562952959
norm_Nomorlization_屏東_C0R570_combined_windows,0.0657858126423832,lgbm,lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,1,1,2,0.0701533126546866,0.00617657775106407
norm_Nomorlization_恆春_B2Q810_combined_windows,0.129894762339499,lgbm,lgbm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,1,1,2,0.133399531743015,0.00495649242344293
norm_Nomorlization_美濃_72V140_combined_windows,0.0686202615795832,lgbm,lgbm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,1,1,2,0.0708485087881254,0.00315121742264039
norm_Nomorlization_苗栗_C0E750_combined_windows,0.0905544247336053,lgbm,lgbm_separate_norm_Nomorlization_苗栗_C0E750_combined_windows,separate,1,1,2,0.0945786396570553,0.00569109932264725
norm_Nomorlization_埔里_C0H890_combined_windows,0.0612761207426026,lgbm,lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,separate,1,1,2,0.0633060532974798,0.00287075814981004
norm_Nomorlization_桃園_C0C480_combined_windows,0.141852555898663,lstm,lstm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,1,1,2,0.143232146641973,0.00195103593971418
norm_Nomorlization_馬公_467350_combined_windows,0.104716977824518,lgbm,lgbm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,1,1,2,0.107613802475771,0.00409672870961804
norm_Nomorlization_馬祖_467990_combined_windows,0.10039169107432,lgbm,lgbm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,1,1,2,0.101350938703288,0.0013565810065602
norm_Nomorlization_基隆_466940_combined_windows,0.203680637554239,lgbm,lgbm_separate_norm_Nomorlization_基隆_466940_combined_windows,separate,1,1,2,0.206324720290662,0.00373929766588528
二林_C0G730_combined_windows,3.06570571131368,lgbm,lgbm_separate_二林_C0G730_combined_windows,separate,1,1,2,3.15347405847844,0.124123186907482
三重_C0AI30_combined_windows,3.73235891716431,lgbm,lgbm_separate_三重_C0AI30_combined_windows,separate,1,1,2,3.74580220076591,0.0190116739922056
三義_C0F9Q0_combined_windows,2.10148332949401,lstm,lstm_separate_三義_C0F9Q0_combined_windows,separate,1,1,2,2.13468665016129,0.0469565864035018
土城_C0AD40_combined_windows,2.67243193952663,lstm,lstm_separate_土城_C0AD40_combined_windows,separate,1,1,2,2.72412523766543,0.0731053633116891
士林_C0AI40_combined_windows,2.9691382083359,lstm,lstm_separate_士林_C0AI40_combined_windows,separate,1,1,2,2.98096947010623,0.0167319308555892
大同_C0AI30_combined_windows,3.14180882805365,lgbm,lgbm_separate_大同_C0AI30_combined_windows,separate,1,1,2,3.21200340327309,0.0992701202803598
大里_C0F9N0_combined_windows,2.46886815996715,lgbm,lgbm_separate_大里_C0F9N0_combined_windows,separate,1,1,2,2.47337854469063,0.0063786472474702
大園_C0C590_combined_windows,2.86548470235699,lgbm,lgbm_separate_大園_C0C590_combined_windows,separate,1,1,2,2.92122173177376,0.0788240629275775
大寮_C0V450_combined_windows,3.45568780908102,lstm,lstm_separate_大寮_C0V450_combined_windows,separate,1,1,2,3.46239751512998,0.00948895729397294
小港_C0V450_combined_windows,3.3165736599446,lgbm,lgbm_separate_小港_C0V450_combined_windows,separate,1,1,2,3.32276353340794,0.00875380300122701
中山_C0AH70_combined_windows,3.35833500739655,lgbm,lgbm_separate_中山_C0AH70_combined_windows,separate,1,1,2,3.38819086329368,0.0422225563259809
中壢_A2C560_combined_windows,3.39847002768321,lgbm,lgbm_separate_中壢_A2C560_combined_windows,separate,1,1,2,3.43492077542409,0.0515491418137942
仁武_C0V680_combined_windows,3.00462323005579,lgbm,lgbm_separate_仁武_C0V680_combined_windows,separate,1,1,2,3.01973876472114,0.0213765941262655
斗六_C0K400_combined_windows,2.6247120347225,lgbm,lgbm_separate_斗六_C0K400_combined_windows,separate,1,1,2,2.64245776541171,0.0250962530148974
冬山_C0U910_combined_windows,1.90231428777993,lstm,lstm_separate_冬山_C0U910_combined_windows,separate,1,1,2,1.9969431901215,0.133825477083916
古亭_C0AH10_combined_windows,2.90420663350023,lstm,lstm_separate_古亭_C0AH10_combined_windows,separate,1,1,2,2.92228407159843,0.0255653581314365
左營_C0V810_combined_windows,3.05022622841595,lgbm,lgbm_separate_左營_C0V810_combined_windows,separate,1,1,2,3.09815666267359,0.0677838701775904
平鎮_A2C560_combined_windows,2.72748657440327,lgbm,lgbm_separate_平鎮_A2C560_combined_windows,separate,1,1,2,2.78857176917572,0.0863875109074087
永和_C0AH10_combined_windows,3.02810155094543,lgbm,lgbm_separate_永和_C0AH10_combined_windows,separate,1,1,2,3.07515095771978,0.0665379091618816
安南_467420_combined_windows,2.61682787499964,lgbm,lgbm_separate_安南_467420_combined_windows,separate,1,1,2,2.65356630747044,0.0519559894605366
朴子_C0M650_combined_windows,2.80388203932935,lgbm,lgbm_separate_朴子_C0M650_combined_windows,separate,1,1,2,2.86034411660712,0.0798494354459832
汐止_C0AH00_combined_windows,2.96216424863478,lgbm,lgbm_separate_汐止_C0AH00_combined_windows,separate,1,1,2,2.97709977175035,0.0211220193511758
竹山_U2HA50_combined_windows,2.38323235086839,lgbm,lgbm_separate_竹山_U2HA50_combined_windows,separate,1,1,2,2.45160565175065,0.0966944494119034
竹東_C0D560_combined_windows,2.11392001761499,lstm,lstm_separate_竹東_C0D560_combined_windows,separate,1,1,2,2.13536878647034,0.0303331398114337
西屯_C0F9T0_combined_windows,2.36895383415484,lgbm,lgbm_separate_西屯_C0F9T0_combined_windows,separate,1,1,2,2.51261824496285,0.203172158195018
