timestep,importance,hour_before
1,0.711340984084285,72
2,0.109827993406255,71
3,0.0247852493043213,70
4,0.154012837398185,69
5,0.188859800436143,68
6,0.0580907360721512,67
7,0.0791460668869734,66
8,0.0272629599177584,65
9,0.351048329452946,64
10,0.113655281253185,63
11,0.318881608028981,62
12,0.190263393369007,61
13,0.192663444493201,60
14,0.361476263078876,59
15,0.172140143872255,58
16,0.0890862747402638,57
17,0.398234763947759,56
18,0.334609224303494,55
19,0.0565716605723863,54
20,0.180395576821243,53
21,0.333375265960232,52
22,0.287999152914688,51
23,0.229569823422354,50
24,0.105320840323782,49
25,0.000647993423726304,48
26,0.071158724811473,47
27,0.0832314779366968,46
28,0.0049808682236579,45
29,0.0369514175763103,44
30,0.149886837525686,43
31,0.0593735912261388,42
32,0.0201770825876964,41
33,0.0584825925793483,40
34,0.0524806563125854,39
35,0.182826545305244,38
36,0.181090487417634,37
37,0.153923417278025,36
38,0.0142152925377557,35
39,0.152471714956032,34
40,0.126133737778868,33
41,0.0855368502936615,32
42,0.142555414839117,31
43,0.0402072766323378,30
44,0.0810130586882973,29
45,0.00531986176403702,28
46,0.0710521585716298,27
47,0.081535311643711,26
48,0.0080903659182633,25
49,0.0215047051729277,24
50,0.0170024581202922,23
51,0.056025262077724,22
52,0.0383940400576125,21
53,0.125517337522418,20
54,0.159124724652475,19
55,0.106584502254375,18
56,0.150455874942821,17
57,0.0521271440177974,16
58,0.03832670699464,15
59,0.0256298085290207,14
60,0.394418943255436,13
61,0.0859695050895207,12
62,0.150245345033787,11
63,0.0113696252864491,10
64,0.0136239819253028,9
65,0.0661601364223388,8
66,0.147473551328646,7
67,0.068670005801978,6
68,0.0836989931987018,5
69,0.181391609035679,4
70,0.120930669366391,3
71,0.0584171050703498,2
72,0.178426285806593,1
