station,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank
norm_Nomorlization_板橋_C0ACA0_combined_windows,0.185282511134133,1,lgbm_separate_norm_Nomorlization_板橋_C0ACA0_combined_windows,separate,45
norm_Nomorlization_林口_C0AH50_combined_windows,0.189898544298293,1,lgbm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,46
norm_Nomorlization_士林_C0AI40_combined_windows,0.196979901100295,1,lgbm_separate_norm_Nomorlization_士林_C0AI40_combined_windows,separate,47
norm_Nomorlization_基隆_466940_combined_windows,0.203680637554239,1,lgbm_separate_norm_Nomorlization_基隆_466940_combined_windows,separate,48
norm_Nomorlization_三重_C0AI30_combined_windows,0.204760210755163,1,lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,separate,49
馬公_467350_combined_windows,2.05201687701483,1,lgbm_separate_馬公_467350_combined_windows,separate,50
埔里_C0H890_combined_windows,2.05254472000147,1,lgbm_separate_埔里_C0H890_combined_windows,separate,51
花蓮_466990_combined_windows,2.06138072052742,1,lgbm_separate_花蓮_466990_combined_windows,separate,52
陽明_466910_combined_windows,2.06988562623405,1,lgbm_separate_陽明_466910_combined_windows,separate,53
冬山_C0U910_combined_windows,2.09157209246306,1,lgbm_separate_冬山_C0U910_combined_windows,separate,54
竹東_C0D560_combined_windows,2.15681755532568,1,lgbm_separate_竹東_C0D560_combined_windows,separate,55
三義_C0F9Q0_combined_windows,2.16788997082858,1,lgbm_separate_三義_C0F9Q0_combined_windows,separate,56
豐原_C0F9M0_combined_windows,2.17975261459903,1,lgbm_separate_豐原_C0F9M0_combined_windows,separate,57
宜蘭_467080_combined_windows,2.1884650444398,1,lgbm_separate_宜蘭_467080_combined_windows,separate,58
富貴角_C0AI20_combined_windows,2.22847924134519,1,lgbm_separate_富貴角_C0AI20_combined_windows,separate,59
頭份_C0E420_combined_windows,2.23992834753367,1,lgbm_separate_頭份_C0E420_combined_windows,separate,60
彰化_C0G910_combined_windows,2.26435225480177,1,lgbm_separate_彰化_C0G910_combined_windows,separate,61
南投_C0I460_combined_windows,2.27748457596628,1,lgbm_separate_南投_C0I460_combined_windows,separate,62
