feature_idx,importance,feature_name
12,0.845111694428533,Feature_12
6,0.711411356510083,Feature_6
20,0.483415553353561,Feature_20
7,0.459394986614087,Feature_7
14,0.42146015810274,Feature_14
17,0.36843435897182,Feature_17
13,0.358052317788818,Feature_13
5,0.335442629361581,Feature_5
11,0.326564039855266,Feature_11
36,0.286095338819036,Feature_36
23,0.270892305579795,Feature_23
47,0.260785128417664,Feature_47
49,0.224701801108206,Feature_49
1,0.222340968606639,Feature_1
37,0.190695868772116,Feature_37
22,0.176756474827428,Feature_22
35,0.16853298956388,Feature_35
18,0.165269303809784,Feature_18
27,0.157129133881944,Feature_27
39,0.153058339150102,Feature_39
19,0.132728720572691,Feature_19
32,0.125489783392787,Feature_32
15,0.116204171742779,Feature_15
26,0.112979714903138,Feature_26
2,0.110823946956979,Feature_2
50,0.106507303863717,Feature_50
45,0.105630454434829,Feature_45
40,0.105135253334811,Feature_40
24,0.104827322092048,Feature_24
31,0.101508975954154,Feature_31
21,0.0997325433117585,Feature_21
33,0.095404559532689,Feature_33
29,0.0888793291835247,Feature_29
8,0.0803809213281376,Feature_8
4,0.0803478912974345,Feature_4
48,0.0802607679314862,Feature_48
25,0.0664969122946686,Feature_25
43,0.0663494831377584,Feature_43
42,0.0638177652659347,Feature_42
9,0.05217911168717,Feature_9
34,0.0520530433297217,Feature_34
28,0.051881989583723,Feature_28
46,0.0496319622418293,Feature_46
3,0.0444719760631794,Feature_3
44,0.0407354373187367,Feature_44
38,0.0346475788028871,Feature_38
10,0.0270127378440948,Feature_10
16,0.0238910098677835,Feature_16
30,0.0135587480701928,Feature_30
41,0.00569884953949668,Feature_41
