station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
norm_Nomorlization_馬祖_467990_combined_windows,0.102310186332255,1,lstm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,24,0.10039169107432,1,lgbm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,23,9.8675907668966,24
norm_chunk_03,0.112483404045884,1,lstm_combine_norm_chunk_03,combine,28,0.100631607622832,1,lgbm_combine_norm_chunk_03,combine,24,9.41371801484039,25
norm_Nomorlization_馬公_467350_combined_windows,0.110510627127024,1,lstm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,27,0.104716977824518,1,lgbm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,26,9.29922667288856,26
norm_Nomorlization_竹東_C0D560_combined_windows,0.102510673943719,1,lstm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,25,0.114270437471772,1,lgbm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,29,9.25312574643431,27
norm_Nomorlization_金門_C0W150_combined_windows,0.11677974630123,1,lstm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,29,0.105622499339606,1,lgbm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,27,9.01540424608033,28
norm_chunk_01,0.120343830337712,1,lstm_combine_norm_chunk_01,combine,30,0.108503225673123,1,lgbm_combine_norm_chunk_01,combine,28,8.76292015421011,29
norm_Nomorlization_花蓮_466990_combined_windows,0.136958631539987,1,lstm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,33,0.118084041844232,1,lgbm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,30,7.88500981782085,30
norm_Nomorlization_平鎮_A2C560_combined_windows,0.132589327405917,1,lstm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,31,0.132700393528274,1,lgbm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,32,7.53892892460813,31
norm_Nomorlization_恆春_B2Q810_combined_windows,0.136904301146532,1,lstm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,32,0.129894762339499,1,lgbm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,31,7.50145611353825,32
norm_Nomorlization_冬山_C0U910_combined_windows,0.138740932807784,1,lstm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,34,0.138203906248953,1,lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,33,7.22168185959651,33
norm_Nomorlization_桃園_C0C480_combined_windows,0.141852555898663,1,lstm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,35,0.144611737385284,1,lgbm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,35,6.98232069137109,34
norm_Nomorlization_宜蘭_467080_combined_windows,0.14741090619425,1,lstm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,36,0.139878017334411,1,lgbm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,34,6.96642237889773,35
norm_Nomorlization_大園_C0C590_combined_windows,0.151040960077102,1,lstm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,37,0.15090063542429,1,lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,36,6.62379897889674,36
norm_Nomorlization_土城_C0AD40_combined_windows,0.156763845198963,1,lstm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,separate,38,0.1542075033674,1,lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,separate,37,6.43189532345053,37
norm_Nomorlization_松山_C0AC70_combined_windows,0.165281453830215,1,lstm_separate_norm_Nomorlization_松山_C0AC70_combined_windows,separate,39,0.157745068662443,1,lgbm_separate_norm_Nomorlization_松山_C0AC70_combined_windows,separate,38,6.19481399297539,38
norm_Nomorlization_汐止_C0AH00_combined_windows,0.17228638457013,1,lstm_separate_norm_Nomorlization_汐止_C0AH00_combined_windows,separate,42,0.162888088365832,1,lgbm_separate_norm_Nomorlization_汐止_C0AH00_combined_windows,separate,39,5.97173676242926,39
norm_Nomorlization_古亭_C0AH10_combined_windows,0.167391454832282,1,lstm_separate_norm_Nomorlization_古亭_C0AH10_combined_windows,separate,40,0.16849498680372,1,lgbm_separate_norm_Nomorlization_古亭_C0AH10_combined_windows,separate,41,5.95445763935801,40
norm_Nomorlization_大同_C0AI30_combined_windows,0.170718415640021,1,lstm_separate_norm_Nomorlization_大同_C0AI30_combined_windows,separate,41,0.168347634291288,1,lgbm_separate_norm_Nomorlization_大同_C0AI30_combined_windows,separate,40,5.89884414530548,41
norm_Nomorlization_中壢_A2C560_combined_windows,0.188588415321944,1,lstm_separate_norm_Nomorlization_中壢_A2C560_combined_windows,separate,46,0.170955099635463,1,lgbm_separate_norm_Nomorlization_中壢_A2C560_combined_windows,separate,42,5.5760208948926,42
norm_Nomorlization_中山_C0AH70_combined_windows,0.183327034370828,1,lstm_separate_norm_Nomorlization_中山_C0AH70_combined_windows,separate,43,0.179710705278238,1,lgbm_separate_norm_Nomorlization_中山_C0AH70_combined_windows,separate,44,5.50961582330528,43
norm_Nomorlization_永和_C0AH10_combined_windows,0.1879071859166,1,lstm_separate_norm_Nomorlization_永和_C0AH10_combined_windows,separate,45,0.179043294657565,1,lgbm_separate_norm_Nomorlization_永和_C0AH10_combined_windows,separate,43,5.45350876644952,44
norm_Nomorlization_崙背_C0K250_combined_windows,0.0917020563220379,1,lstm_separate_norm_Nomorlization_崙背_C0K250_combined_windows,separate,18,,,,,,5.45244043649477,45
norm_Nomorlization_板橋_C0ACA0_combined_windows,0.183930827426164,1,lstm_separate_norm_Nomorlization_板橋_C0ACA0_combined_windows,separate,44,0.185282511134133,1,lgbm_separate_norm_Nomorlization_板橋_C0ACA0_combined_windows,separate,45,5.4169949919721,46
norm_Nomorlization_林口_C0AH50_combined_windows,0.196395562530683,1,lstm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,48,0.189898544298293,1,lgbm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,46,5.17886727075779,47
norm_Nomorlization_士林_C0AI40_combined_windows,0.193887621478179,1,lstm_separate_norm_Nomorlization_士林_C0AI40_combined_windows,separate,47,0.196979901100295,1,lgbm_separate_norm_Nomorlization_士林_C0AI40_combined_windows,separate,47,5.11714345754929,48
norm_Nomorlization_基隆_466940_combined_windows,0.208968803027084,1,lstm_separate_norm_Nomorlization_基隆_466940_combined_windows,separate,49,0.203680637554239,1,lgbm_separate_norm_Nomorlization_基隆_466940_combined_windows,separate,48,4.84752507454078,49
norm_Nomorlization_三重_C0AI30_combined_windows,0.210367962503053,1,lstm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,separate,50,0.204760210755163,1,lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,separate,49,4.81866843466442,50
冬山_C0U910_combined_windows,1.90231428777993,1,lstm_separate_冬山_C0U910_combined_windows,separate,51,2.09157209246306,1,lgbm_separate_冬山_C0U910_combined_windows,separate,54,0.501892379717618,51
花蓮_466990_combined_windows,1.97354331314769,1,lstm_separate_花蓮_466990_combined_windows,separate,52,2.06138072052742,1,lgbm_separate_花蓮_466990_combined_windows,separate,52,0.495907292463101,52
馬公_467350_combined_windows,2.07048025394016,1,lstm_separate_馬公_467350_combined_windows,separate,54,2.05201687701483,1,lgbm_separate_馬公_467350_combined_windows,separate,50,0.485152579748979,53
陽明_466910_combined_windows,2.07494118462193,1,lstm_separate_陽明_466910_combined_windows,separate,55,2.06988562623405,1,lgbm_separate_陽明_466910_combined_windows,separate,53,0.48252992627712,54
宜蘭_467080_combined_windows,2.01605147914434,1,lstm_separate_宜蘭_467080_combined_windows,separate,53,2.1884650444398,1,lgbm_separate_宜蘭_467080_combined_windows,separate,58,0.47648017576133,55
埔里_C0H890_combined_windows,2.18125279249451,1,lstm_separate_埔里_C0H890_combined_windows,separate,59,2.05254472000147,1,lgbm_separate_埔里_C0H890_combined_windows,separate,51,0.472826119314559,56
三義_C0F9Q0_combined_windows,2.10148332949401,1,lstm_separate_三義_C0F9Q0_combined_windows,separate,56,2.16788997082858,1,lgbm_separate_三義_C0F9Q0_combined_windows,separate,56,0.468566190396559,57
竹東_C0D560_combined_windows,2.11392001761499,1,lstm_separate_竹東_C0D560_combined_windows,separate,57,2.15681755532568,1,lgbm_separate_竹東_C0D560_combined_windows,separate,55,0.46835043624979,58
富貴角_C0AI20_combined_windows,2.16148021160301,1,lstm_separate_富貴角_C0AI20_combined_windows,separate,58,2.22847924134519,1,lgbm_separate_富貴角_C0AI20_combined_windows,separate,59,0.455691215345443,59
頭份_C0E420_combined_windows,2.28715688130512,1,lstm_separate_頭份_C0E420_combined_windows,separate,61,2.23992834753367,1,lgbm_separate_頭份_C0E420_combined_windows,separate,60,0.441833452230159,60
豐原_C0F9M0_combined_windows,2.36476211126145,1,lstm_separate_豐原_C0F9M0_combined_windows,separate,63,2.17975261459903,1,lgbm_separate_豐原_C0F9M0_combined_windows,separate,57,0.440821586956175,61
